cellId,areaId,lat,lon,phones,isNew
270.21682,270,37.4759,-122.16783,8,
270.21692,270,37.47714,-122.15041,8,
270.21693,270,37.48074,-122.16478,8,
270.21721,270,37.53917,-122.28335,8,
270.21722,270,37.54489,-122.28874,8,
270.21921,270,37.5737,-122.31759,8,
270.21922,270,37.57241,-122.31604,8,
270.21961,270,37.50099,-122.24235,8,
270.21963,270,37.50688,-122.24924,8,
270.22261,270,37.59243,-122.36618,8,
270.22262,270,37.59766,-122.37449,8,
270.25481,270,37.48342,-122.18284,8,
270.25483,270,37.48553,-122.19235,8,
270.25701,270,37.49079,-122.21625,8,
270.25702,270,37.4868,-122.2034,8,
275.21412,275,37.43932,-122.11344,8,
275.21413,275,37.44657,-122.12123,8,
275.21761,275,37.45211,-122.14494,8,
275.21762,275,37.46232,-122.15578,8,
275.21791,275,37.45114,-122.12649,8,
275.21792,275,37.45326,-122.12964,8,
275.21881,275,37.46129,-122.14124,8,
275.21882,275,37.45903,-122.13892,8,
275.21883,275,37.46529,-122.14972,8,
275.25221,275,37.39163,-122.01304,8,
275.25222,275,37.38392,-122.00921,8,
275.25223,275,37.3858,-122.0152,8,
275.25331,275,37.44869,-122.15932,8,
275.25332,275,37.44391,-122.15628,8,
275.25352,275,37.37419,-122.01744,8,
275.25562,275,37.40841,-122.07134,8,
275.25563,275,37.41172,-122.07782,8,
275.25761,275,37.3955,-122.0132,8,
275.25762,275,37.39594,-122.02083,8,
275.25763,275,37.4,-122.02915,8,
275.26101,275,37.43181,-122.10539,8,
275.26102,275,37.42345,-122.09636,8,
275.26103,275,37.42679,-122.10161,8,
275.26151,275,37.43523,-122.17553,8,
275.26152,275,37.42863,-122.16842,8,
275.26171,275,37.40465,-122.05284,8,
275.26172,275,37.40227,-122.04336,8,
275.26173,275,37.40447,-122.05707,8,
275.26541,275,37.42149,-122.09438,8,
275.26542,275,37.41704,-122.08851,8,
275.29022,275,37.40193,-122.06672,8,
275.29031,275,37.39449,-122.03196,8,
275.29041,275,37.4108,-122.08842,8,
275.29141,275,37.44671,-122.13137,8,
275.29143,275,37.44354,-122.13939,8,
275.29341,275,37.42464,-122.1089,8,
275.29623,275,37.40561,-122.01971,8,
275.29832,275,37.34655,-122.03283,8,
275.43402,275,37.4389,-122.16051,8,
275.43403,275,37.43501,-122.17927,8,
275.43431,275,37.3984,-122.05017,8,
275.43631,275,37.36969,-122.01377,8,
275.43632,275,37.35508,-122.01625,8,
275.43642,275,37.37953,-122.01581,8,
301.11031,301,0,0,73-8,
301.11032,301,0,0,73,
301.11033,301,0,0,8,
301.11041,301,0,0,73-8,
301.11042,301,0,0,73,
301.11043,301,0,0,73,
301.11072,301,0,0,73,
301.11073,301,0,0,73-8,
301.11082,301,0,0,73-8,
301.11083,301,0,0,8,
301.11322,301,0,0,73,
307.10051,307,0,0,73,
307.11541,307,0,0,73,
307.12181,307,0,0,73,
307.12191,307,0,0,73,
307.12192,307,0,0,73,
307.12193,307,0,0,73,
307.12201,307,0,0,73,
307.12253,307,0,0,73,
307.12361,307,0,0,73-8,
307.12362,307,0,0,73,
307.12363,307,0,0,73,
307.12391,307,0,0,73,
307.12393,307,0,0,73,
307.12413,307,0,0,73,
307.12501,307,0,0,73,
307.12502,307,0,0,73,
307.12503,307,0,0,73,
307.31391,307,0,0,73,
307.34073,307,0,0,73,
307.42501,307,0,0,73,
307.42502,307,0,0,73,
307.42503,307,0,0,73,
310.09265,310,51.73606,0.13875,73,
310.09267,310,51.72069,0.14032,73,
310.09769,310,51.86734,0.18949,73,
310.13158,310,51.87388,0.20942,73,
310.13159,310,51.86823,0.22393,73,
310.1316,310,51.86116,0.18768,73,
310.13353,310,51.83835,0.18629,73,
310.1336,310,51.80916,0.21363,73,
310.13361,310,51.81591,0.17557,73,
310.14082,310,51.80647,0.17458,73,
310.14083,310,51.7908,0.1719,73,
310.1805,310,51.7739,0.15777,73,
310.18052,310,51.75341,0.14139,73,
310.20768,310,51.67861,0.03457,73,
310.22585,310,51.68388,0.06108,73,
310.22592,310,51.68257,0.04836,73,
310.22825,310,51.68207,0.11495,73,
310.31331,310,51.67629,0.12837,73,
310.31332,310,51.68043,0.10353,73,
310.32,310,51.68766,0.1338,73,
310.32474,310,51.67979,0.01301,73,
310.32475,310,51.68059,-0.00983,73,
310.40173,310,51.74559,0.13846,73,
310.47924,310,51.68916,0.08849,73,
310.47931,310,51.68814,0.07828,73,
310.49142,310,51.89046,0.21032,73,
310.49143,310,51.87831,0.20317,73,
310.49634,310,51.70923,0.14446,73,
310.49636,310,51.69279,0.13582,73,
312.12022,312,0,0,8,
312.12113,312,0,0,8,
312.12241,312,0,0,8,
312.12242,312,0,0,8,
312.12243,312,0,0,8,
312.12603,312,0,0,8,
365.25061,365,37.37204,-121.93932,8,
365.25091,365,37.37471,-121.91709,8,
365.25093,365,37.37256,-121.92617,8,
365.25121,365,37.36626,-121.92421,8,
365.25122,365,37.37003,-121.92805,8,
365.26731,365,37.34835,-121.94904,8,
365.26733,365,37.33972,-121.95526,8,
365.29931,365,37.36796,-121.92416,8,
365.29932,365,37.35891,-121.91406,8,
365.29933,365,37.3622,-121.92069,8,
365.31513,365,37.36959,-121.93065,8,
365.31521,365,37.36375,-121.9233,8,
365.31523,365,37.3621,-121.92195,8,
367.25051,367,37.32692,-121.96731,8,
367.25053,367,37.32093,-121.97483,8,
367.25391,367,37.31916,-121.99206,8,
367.25392,367,37.32167,-121.99132,8,
367.25393,367,37.3232,-121.9967,8,
367.25443,367,37.3171,-121.97698,8,
367.25522,367,37.32257,-122.02597,8,
367.25591,367,37.33557,-122.03416,8,
367.25592,367,37.33507,-122.02,8,
367.25593,367,37.33105,-122.03532,8,
367.25791,367,37.33461,-122.02217,8,
367.25792,367,37.33173,-122.01811,8,
367.25793,367,37.33342,-122.02497,8,
367.29221,367,37.32388,-122.01538,8,
367.31801,367,37.341201999999996,-122.018076,8,true
370.33467,370,0,0,73,
375.10243,375,37.66051,-122.10447,8,
375.10301,375,37.68994,-122.13602,8,
375.10381,375,37.63866,-122.08986,8,
375.10382,375,37.62998,-122.08347,8,
375.10402,375,37.60556,-122.0659,8,
375.10421,375,37.58095,-122.05038,8,
375.10423,375,37.57145,-122.04787,8,
375.10502,375,37.53726,-122.0143,8,
375.10541,375,37.52448,-121.99069,8,
375.10542,375,37.51967,-121.98419,8,
375.10543,375,37.52596,-121.99807,8,
375.11432,375,37.59514,-122.05891,8,
375.11472,375,37.56074,-122.03743,8,
375.11473,375,37.56558,-122.04016,8,
375.19141,375,37.68379,-122.12799,8,
375.19151,375,37.66351,-122.10648,8,
375.19152,375,37.6506,-122.0974,8,
375.19162,375,37.67268,-122.11348,8,
375.19163,375,37.67839,-122.12067,8,
375.19491,375,37.5298,-122.00236,8,
375.19492,375,37.52775,-121.99874,8,
385.10082,385,37.77909,-122.23265,8,
385.10143,385,37.83679,-122.26117,8,
385.10222,385,37.75026,-122.22867,8,
385.10223,385,37.75151,-122.252,8,
385.10912,385,37.72989,-122.20632,8,
385.13791,385,37.70295,-122.1528,8,
385.13792,385,37.70265,-122.17646,8,
385.13821,385,37.75349666666667,-122.23032333333333,8,true
385.19023,385,37.82877,-122.27333,8,
385.19193,385,37.795208333333335,-122.34030166666668,8,true
385.19201,385,37.72456,-122.22182,8,
385.19202,385,37.69878,-122.16641,8,
385.19203,385,37.77407,-122.23924,8,
385.47603,385,37.69751,-122.14566,8,
452.09026,452,51.97631,0.2061,73,
452.09027,452,51.94766,0.21693,73,
452.13161,452,51.92202,0.22074,73,
452.13168,452,51.90243,0.21986,73,
452.31264,452,52.03949,0.18971,73,
452.31265,452,52.02506,0.19448,73,
452.31266,452,52.032275,0.192095,73,true
452.32428,452,51.87313,0.24596,73,
452.32432,452,51.89229,0.26422,73,
452.32433,452,51.87724,0.2471,73,
452.36669,452,52.00503,0.19556,73,
452.36671,452,51.99447,0.19499,73,
452.38079,452,52.01392,0.19713,73,
452.42371,452,51.93107,0.2244,73,
701.40792,701,42.35498,-73.42246,6,
701.40793,701,42.36588,-73.4412,6,
701.41362,701,42.37578,-73.46228,6,
701.41363,701,42.39381,-73.49714,6,
701.43001,701,42.28281,-73.87367,6,
701.43541,701,42.34253,-73.85693,6,
701.43542,701,42.30868,-73.86944,6,
701.60431,701,42.46135,-73.81007,6,
701.60432,701,42.43574,-73.80685,6,
701.60442,701,42.53625,-73.77601,6,
701.60453,701,42.56065,-73.7868,6,
701.60471,701,42.5086,-73.7931,6,
701.60472,701,42.48363,-73.80382,6,
701.60481,701,42.39452,-73.82572,6,
701.60482,701,42.37836,-73.8296,6,
701.60483,701,42.35992,-73.84845,6,
701.60752,701,42.52971,-73.69175,6,
701.60762,701,42.48304,-73.6615,6,
701.60763,701,42.4887,-73.70599,6,
701.60771,701,42.45255,-73.57718,6,
701.60772,701,42.4708,-73.61264,6,
701.60781,701,42.40717,-73.52577,6,
701.60782,701,42.3818,-73.55686,6,
701.60783,701,42.42548,-73.55174,6,
701.61101,701,42.26468,-73.74902,6,
2000.27459,2000,0,0,8,
2400.24301,2400,0,0,26,
2400.24432,2400,0,0,26,
2431.06262,2431,0,0,37,
2431.06263,2431,0,0,37,
2431.06331,2431,0,0,37,
2431.06333,2431,0,0,37,
2431.06371,2431,0,0,37,
2431.06372,2431,0,0,37,
2431.06381,2431,0,0,37,
2431.06382,2431,0,0,37,
2431.06383,2431,0,0,37,
2431.06391,2431,0,0,37,
2431.06392,2431,0,0,37,
2431.06401,2431,0,0,37,
2431.06402,2431,0,0,37,
2431.06411,2431,0,0,37,
2431.06412,2431,0,0,37,
2431.06421,2431,0,0,37,
2431.06422,2431,0,0,37,
2431.06432,2431,0,0,37,
2431.06661,2431,0,0,37,
2431.06662,2431,0,0,37,
2431.06663,2431,0,0,37,
2431.06671,2431,0,0,37,
2431.06672,2431,0,0,37,
2431.06673,2431,0,0,37,
2431.06761,2431,0,0,37,
2431.06792,2431,0,0,37,
2431.06793,2431,0,0,37,
2431.08013,2431,0,0,37,
2431.08111,2431,0,0,37,
2433.03981,2433,33.16162,-84.03815,37,
2433.03982,2433,33.14285,-84.02536,37,
2433.03983,2433,33.18619,-84.05422,37,
2433.04951,2433,33.17706,-84.04734,37,
2433.04952,2433,33.19225,-84.0591,37,
2433.04953,2433,33.21924,-84.06988,37,
2433.06011,2433,33.090824999999995,-83.986135,37,true
2433.06012,2433,33.11906,-84.00659,37,
2433.06021,2433,33.03056,-83.9151,37,
2433.06022,2433,33.06259,-83.96568,37,
