cellId,areaId,lat,lon
312.12242,312,0,0
312.12243,312,0,0
312.12603,312,0,0
365.25061,365,37.37204,-121.93932
365.25091,365,37.37471,-121.91709
365.25093,365,37.37256,-121.92617
365.25121,365,37.36626,-121.92421
365.25122,365,37.37003,-121.92805
365.26731,365,37.34835,-121.94904
365.26733,365,37.33972,-121.95526
365.29931,365,37.36796,-121.92416
365.29932,365,37.35891,-121.91406
365.29933,365,37.3622,-121.92069
365.31513,365,37.36959,-121.93065
365.31521,365,37.36375,-121.9233
365.31523,365,37.3621,-121.92195
367.25051,367,37.32692,-121.96731
367.25053,367,37.32093,-121.97483
367.25391,367,37.31916,-121.99206
367.25392,367,37.32167,-121.99132
367.25393,367,37.3232,-121.9967
367.25443,367,37.3171,-121.97698
367.25522,367,37.32257,-122.02597
367.25591,367,37.33557,-122.03416
367.25592,367,37.33507,-122.02
367.25593,367,37.33105,-122.03532
367.25791,367,37.33461,-122.02217
367.25792,367,37.33173,-122.01811
367.25793,367,37.33342,-122.02497
367.29221,367,37.32388,-122.01538
367.31801,367,0,0
370.33467,370,0,0
375.10243,375,37.66051,-122.10447
375.10301,375,37.68994,-122.13602
375.10381,375,37.63866,-122.08986
375.10382,375,37.62998,-122.08347
375.10402,375,37.60556,-122.0659
375.10421,375,37.58095,-122.05038
375.10423,375,37.57145,-122.04787
375.10502,375,37.53726,-122.0143
375.10541,375,37.52448,-121.99069
375.10542,375,37.51967,-121.98419
375.10543,375,37.52596,-121.99807
375.11432,375,37.59514,-122.05891
375.11472,375,37.56074,-122.03743
375.11473,375,37.56558,-122.04016
375.19141,375,37.68379,-122.12799
375.19151,375,37.66351,-122.10648
375.19152,375,37.6506,-122.0974
375.19162,375,37.67268,-122.11348
375.19163,375,37.67839,-122.12067
375.19491,375,37.5298,-122.00236
375.19492,375,37.52775,-121.99874
385.10082,385,37.77909,-122.23265
385.10143,385,37.83679,-122.26117
385.10222,385,37.75026,-122.22867
385.10223,385,37.75151,-122.252
385.10912,385,37.72989,-122.20632
385.13791,385,37.70295,-122.1528
385.13792,385,37.70265,-122.17646
385.13821,385,0,0
385.19023,385,37.82877,-122.27333
385.19193,385,0,0
385.19201,385,37.72456,-122.22182
385.19202,385,37.69878,-122.16641
385.19203,385,37.77407,-122.23924
385.47603,385,37.69751,-122.14566
452.09026,452,51.97631,0.2061
452.09027,452,51.94766,0.21693
452.13161,452,51.92202,0.22074
452.13168,452,51.90243,0.21986
452.31264,452,52.03949,0.18971
452.31265,452,52.02506,0.19448
452.31266,452,0,0
452.32428,452,51.87313,0.24596
452.32432,452,51.89229,0.26422
452.32433,452,51.87724,0.2471
452.36669,452,52.00503,0.19556
452.36671,452,51.99447,0.19499
452.38079,452,52.01392,0.19713
